dataset,instancia,n,M,archivo
dataset-5,DS-5-10,10,1000,instancias/dataset-5/DS-5-10.txt
dataset-5,DS-5-20,20,1000,instancias/dataset-5/DS-5-20.txt
dataset-5,DS-5-30,30,1000,instancias/dataset-5/DS-5-30.txt
dataset-5,DS-5-40,40,1000,instancias/dataset-5/DS-5-40.txt
dataset-5,DS-5-50,50,1000,instancias/dataset-5/DS-5-50.txt
dataset-5,DS-5-60,60,1000,instancias/dataset-5/DS-5-60.txt
dataset-5,DS-5-70,70,1000,instancias/dataset-5/DS-5-70.txt
dataset-5,DS-5-80,80,1000,instancias/dataset-5/DS-5-80.txt
dataset-5,DS-5-90,90,1000,instancias/dataset-5/DS-5-90.txt
dataset-5,DS-5-100,100,1000,instancias/dataset-5/DS-5-100.txt
dataset-5,DS-5-110,110,1000,instancias/dataset-5/DS-5-110.txt
dataset-5,DS-5-120,120,1000,instancias/dataset-5/DS-5-120.txt
dataset-5,DS-5-130,130,1000,instancias/dataset-5/DS-5-130.txt
dataset-5,DS-5-140,140,1000,instancias/dataset-5/DS-5-140.txt
dataset-5,DS-5-150,150,1000,instancias/dataset-5/DS-5-150.txt
dataset-5,DS-5-160,160,1000,instancias/dataset-5/DS-5-160.txt
dataset-5,DS-5-170,170,1000,instancias/dataset-5/DS-5-170.txt
dataset-5,DS-5-180,180,1000,instancias/dataset-5/DS-5-180.txt
dataset-5,DS-5-190,190,1000,instancias/dataset-5/DS-5-190.txt
dataset-5,DS-5-200,200,1000,instancias/dataset-5/DS-5-200.txt
dataset-5,DS-5-210,210,1000,instancias/dataset-5/DS-5-210.txt
dataset-5,DS-5-220,220,1000,instancias/dataset-5/DS-5-220.txt
dataset-5,DS-5-230,230,1000,instancias/dataset-5/DS-5-230.txt
dataset-5,DS-5-240,240,1000,instancias/dataset-5/DS-5-240.txt
dataset-5,DS-5-250,250,1000,instancias/dataset-5/DS-5-250.txt
dataset-5,DS-5-260,260,1000,instancias/dataset-5/DS-5-260.txt
dataset-5,DS-5-270,270,1000,instancias/dataset-5/DS-5-270.txt
dataset-5,DS-5-280,280,1000,instancias/dataset-5/DS-5-280.txt
dataset-5,DS-5-290,290,1000,instancias/dataset-5/DS-5-290.txt
dataset-5,DS-5-300,300,1000,instancias/dataset-5/DS-5-300.txt
dataset-5,DS-5-310,310,1000,instancias/dataset-5/DS-5-310.txt
dataset-5,DS-5-320,320,1000,instancias/dataset-5/DS-5-320.txt
dataset-5,DS-5-330,330,1000,instancias/dataset-5/DS-5-330.txt
dataset-5,DS-5-340,340,1000,instancias/dataset-5/DS-5-340.txt
dataset-5,DS-5-350,350,1000,instancias/dataset-5/DS-5-350.txt
dataset-5,DS-5-360,360,1000,instancias/dataset-5/DS-5-360.txt
dataset-5,DS-5-370,370,1000,instancias/dataset-5/DS-5-370.txt
dataset-5,DS-5-380,380,1000,instancias/dataset-5/DS-5-380.txt
dataset-5,DS-5-390,390,1000,instancias/dataset-5/DS-5-390.txt
dataset-5,DS-5-400,400,1000,instancias/dataset-5/DS-5-400.txt
dataset-5,DS-5-410,410,1000,instancias/dataset-5/DS-5-410.txt
dataset-5,DS-5-420,420,1000,instancias/dataset-5/DS-5-420.txt
dataset-5,DS-5-430,430,1000,instancias/dataset-5/DS-5-430.txt
dataset-5,DS-5-440,440,1000,instancias/dataset-5/DS-5-440.txt
dataset-5,DS-5-450,450,1000,instancias/dataset-5/DS-5-450.txt
dataset-5,DS-5-460,460,1000,instancias/dataset-5/DS-5-460.txt
dataset-5,DS-5-470,470,1000,instancias/dataset-5/DS-5-470.txt
dataset-5,DS-5-480,480,1000,instancias/dataset-5/DS-5-480.txt
dataset-5,DS-5-490,490,1000,instancias/dataset-5/DS-5-490.txt
dataset-5,DS-5-500,500,1000,instancias/dataset-5/DS-5-500.txt
dataset-5,DS-5-510,510,1000,instancias/dataset-5/DS-5-510.txt
dataset-5,DS-5-520,520,1000,instancias/dataset-5/DS-5-520.txt
dataset-5,DS-5-530,530,1000,instancias/dataset-5/DS-5-530.txt
dataset-5,DS-5-540,540,1000,instancias/dataset-5/DS-5-540.txt
dataset-5,DS-5-550,550,1000,instancias/dataset-5/DS-5-550.txt
dataset-5,DS-5-560,560,1000,instancias/dataset-5/DS-5-560.txt
dataset-5,DS-5-570,570,1000,instancias/dataset-5/DS-5-570.txt
dataset-5,DS-5-580,580,1000,instancias/dataset-5/DS-5-580.txt
dataset-5,DS-5-590,590,1000,instancias/dataset-5/DS-5-590.txt
dataset-5,DS-5-600,600,1000,instancias/dataset-5/DS-5-600.txt
dataset-5,DS-5-610,610,1000,instancias/dataset-5/DS-5-610.txt
dataset-5,DS-5-620,620,1000,instancias/dataset-5/DS-5-620.txt
dataset-5,DS-5-630,630,1000,instancias/dataset-5/DS-5-630.txt
dataset-5,DS-5-640,640,1000,instancias/dataset-5/DS-5-640.txt
dataset-5,DS-5-650,650,1000,instancias/dataset-5/DS-5-650.txt
dataset-5,DS-5-660,660,1000,instancias/dataset-5/DS-5-660.txt
dataset-5,DS-5-670,670,1000,instancias/dataset-5/DS-5-670.txt
dataset-5,DS-5-680,680,1000,instancias/dataset-5/DS-5-680.txt
dataset-5,DS-5-690,690,1000,instancias/dataset-5/DS-5-690.txt
dataset-5,DS-5-700,700,1000,instancias/dataset-5/DS-5-700.txt
dataset-5,DS-5-710,710,1000,instancias/dataset-5/DS-5-710.txt
dataset-5,DS-5-720,720,1000,instancias/dataset-5/DS-5-720.txt
dataset-5,DS-5-730,730,1000,instancias/dataset-5/DS-5-730.txt
dataset-5,DS-5-740,740,1000,instancias/dataset-5/DS-5-740.txt
dataset-5,DS-5-750,750,1000,instancias/dataset-5/DS-5-750.txt
dataset-5,DS-5-760,760,1000,instancias/dataset-5/DS-5-760.txt
